id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,"Rooftop terrace room with ensuite bathroom, Airc.",13660,Simon,Chamartn,Hispanoamrica,40.45628,-3.67763,Private room,70,1,65,9/4/2019,0.56,1,53
3,Bright and airy room,83531,Abdel,Latina,Crmenes,40.40341,-3.74084,Private room,17,4,33,7/15/2018,0.55,2,48
4,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202,-3.70395,Entire home/apt,80,5,2,7/3/2017,0.03,1,354
5,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,64,7/7/2019,0.63,1,301
6,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985,-3.69011,Private room,25,2,136,7/10/2019,1.19,1,337
7,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,168,7/9/2019,1.5,3,322
8,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,5/30/2017,0.15,1,0
9,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,3,38,7/7/2019,0.35,3,337
10,Habitacin para fminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.41971,-3.71256,Private room,40,1,14,12/9/2018,0.14,1,363
11,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.4208,-3.69878,Private room,45,1,57,7/29/2019,3.43,2,352
12,"PLAZA ESPAA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40.42365,-3.70889,Entire home/apt,65,5,85,9/16/2019,0.81,2,291
13,"Heart of Malasaa Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42321,-3.70143,Entire home/apt,70,28,18,5/19/2019,0.18,5,343
14,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.42138,-3.71101,Entire home/apt,75,28,3,6/1/2016,0.04,5,323
15,Superbly located Monthly rental Bills Incl.,353738,Raquel,Centro,Palacio,40.42111,-3.7101,Entire home/apt,75,28,6,1/2/2019,0.12,5,261
16,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.41119,-3.7047,Entire home/apt,110,2,95,9/9/2019,0.91,5,166
17,Madrid Apartment Prado Museum,378073,Alvaro,Centro,Cortes,40.41139,-3.69408,Entire home/apt,85,3,14,6/24/2019,0.23,9,344
18,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.41075,-3.70759,Entire home/apt,80,8,5,8/4/2019,0.19,1,77
19,Estudio Museo Dino,401552,Mercedes,Centro,Embajadores,40.40743,-3.69719,Entire home/apt,63,3,53,7/27/2019,0.59,1,189
20,Plaza Comendadoras Lux,368907,Miguel,Centro,Universidad,40.42791,-3.70999,Entire home/apt,102,3,33,6/23/2019,0.34,2,102
21,"Retiro Park, Stay at cosy studio ",448981,Mercedes,Salamanca,Recoletos,40.42315,-3.68279,Entire home/apt,60,3,108,11/29/2017,1.06,1,0
22,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40865,-3.70534,Entire home/apt,60,3,178,6/16/2019,1.75,1,0
23,Cozy attic flat with intimate rooftop terrace,364585,Vin,Centro,Embajadores,40.40894,-3.69766,Entire home/apt,100,2,140,7/13/2019,1.39,5,165
24,Amazing apt in the historic center,487095,Alicia Y Carlos,Centro,Palacio,40.41218,-3.71369,Entire home/apt,110,2,195,9/15/2019,1.95,1,292
25,Bedroom in Chueca Madrid,495849,Raul,Centro,Justicia,40.42422,-3.69538,Private room,50,2,86,6/9/2019,0.85,1,346
26,*** MALASAA B&B ***,499977,Charo,Centro,Universidad,40.42462,-3.70352,Private room,32,1,596,9/14/2019,5.83,3,321
27, Room for rent in Madrid,510570,Laura / Ismael,Tetun,Cuatro Caminos,40.45559,-3.69421,Private room,25,3,178,8/12/2019,1.99,1,261
28,tico muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50116,-3.67119,Entire home/apt,60,2,3,6/24/2016,0.07,1,0
29,NICE FLAT IN THE CENTER OF MADRID,5795235,Elise,Centro,Embajadores,40.40858,-3.70301,Entire home/apt,65,3,57,7/15/2019,0.79,4,323
30,Nice Single Room with wifi.,533936,Carlos Alberto,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,,,1,47
31,Family Apartment Two Bedrooms& Two Bathroom,534128,Laura,Chamber,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,7/4/2017,0.08,12,321
32,CHIC APARTMENT CHUECA WiFi & AC,534515,Guillermo,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,4/10/2019,0.17,1,272
33,CENTRAL AND COMFORT APTO. W/PARKING,361930,Maria,Chamber,Almagro,40.43761,-3.69802,Entire home/apt,75,2,167,9/14/2019,1.67,4,0
34,RENT ROOM FOR DAYS/ALQUILER HABITACION LUMINOSA,564773,Eva,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,6/13/2019,0.7,1,339
35,Madrid center 2 rooms 4 people,574498,Fernando,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,6/4/2019,0.71,1,110
36,NICE CENTRAL TOURISM-BUSINESS APTO,361930,Maria,Chamber,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,103,8/24/2019,1.06,4,287
37,"Huge, perfect location, AC...!!",557423,Yacob,Centro,Embajadores,40.40743,-3.69828,Entire home/apt,57,3,431,8/5/2019,4.26,1,0
38,Madrid Apartment Latina,378073,Alvaro,Centro,Palacio,40.40958,-3.71042,Entire home/apt,85,3,71,7/24/2019,0.74,9,322
39,ROOM IN THE CENTER -LA LATINA- WIFI,605612,Ulises,Centro,Palacio,40.41112,-3.71025,Private room,35,1,183,9/16/2019,1.86,6,356
40,SHINY ROOM in DOWNTOWN / MALASAA!!,606925,Noelia,Centro,Universidad,40.42381,-3.70571,Private room,29,1,218,8/8/2019,2.15,3,230
41,LOVELY STUDIO IN OLD TOWN-A/C-WIFI,605612,Ulises,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,67,1,509,7/15/2019,5.09,6,143
42,140 m2 Architect flat center Madrid,632589,Janasor,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,69,9/12/2019,0.81,1,225
43,Habitacion en Anton Martin,650803,Jose Luis,Centro,Embajadores,40.41034,-3.69836,Private room,26,3,81,9/14/2019,2.9,1,351
44,"Calm, affordable room in Madrid.",666482,Cinthia,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,12/16/2018,0.72,1,170
45,LOFT ELOISA,723539,Eloisa,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,22,7/14/2019,0.54,9,61
46,Apartamento a 20 min del aeropuerto! Y del centro.,739627,Isabel,Hortaleza,Pinar del Rey,40.47851,-3.64418,Private room,40,1,4,9/9/2019,1.17,1,338
47,NICE FLAT SANTA ANA.45m2 WIFI (A),740087,Jesus&Sonia,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,82,7/29/2019,0.98,8,133
48,Centrical loft in Madrid (Chamberi),780107,Sonia,Chamber,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,3/17/2019,0.08,1,270
49,private house B & B. Arturo Soria (Metro),796746,Consuelo,Hortaleza,Piovera,40.45386,-3.64743,Private room,45,1,17,9/15/2019,0.19,2,356
50,IN THE HEART OF MADRID WITH BALCONY,805726,Patricia,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,6/9/2019,0.64,5,231
51,2-bedroom attic & rooftop terrace,814490,Rafael,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,12/9/2018,1.98,3,248
52,Penthouse in PALACIO with 2 ROOMS,816497,Isabel,Centro,Palacio,40.41607,-3.71101,Entire home/apt,150,3,4,12/30/2011,0.04,2,337
53,Habitacion 6,845399,Daniel,Centro,Universidad,40.4215,-3.70345,Private room,60,1,41,3/30/2019,0.47,10,168
54,Habitacion 2,845399,Daniel,Centro,Universidad,40.42342,-3.70487,Private room,60,1,193,8/2/2019,2.08,10,166
55,Fuencarral studio A,596469,Gabriel Avalos,Centro,Universidad,40.42762,-3.70323,Hotel room,80,5,24,6/28/2019,0.27,30,355
56,Fuencarral Studio A1,596469,Gabriel Avalos,Centro,Universidad,40.42902,-3.70398,Hotel room,80,5,11,7/6/2019,0.11,30,358
57,Small room in  center of madrid in Malasaa,850654,Laila,Centro,Universidad,40.42623,-3.70462,Private room,19,2,93,12/10/2017,0.99,4,348
58,CENTRAL REFURBISHED XIX CENTURY FLAT,877571,Lidia,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,8/29/2017,0.08,5,0
59,ROOM IN CENTRAL REFURBISH FLAT,877571,Lidia,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,5/29/2016,0.17,5,0
60,ROOM IN CENTRAL GENUINE CHARMINFLAT,877571,Lidia,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,9/24/2016,0.43,5,0
61,CENTRAL REFURBISHED GENUINE XIXFLAT,877571,Lidia,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,,,5,0
62,PLAZA MAYOR LOFT the genuine Madrid,927343,Jose,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,210,9/2/2019,2.16,3,275
63,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Centro,Palacio,40.41088,-3.71098,Entire home/apt,77,3,253,9/15/2019,2.58,2,81
64,Room in central top floor with 2 terraces,967721,Santi,Centro,Universidad,40.42538,-3.70505,Private room,25,1,24,8/22/2019,0.46,2,271
65,"Converted theatre, historic centre",749212,Henrietta,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,141,6/17/2019,1.44,1,305
66,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,,,1,119
67,Shiny Room in Malasaa II/Center,606925,Noelia,Centro,Universidad,40.42384,-3.70686,Private room,40,1,43,6/2/2019,0.44,3,324
68,Lovely 110m2 home - BEST LOCATION !,1004721,Alex,Centro,Cortes,40.41476,-3.69531,Entire home/apt,140,7,97,6/30/2019,1,1,288
69,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,265,8/25/2019,2.71,2,289
70,Bedroom with views,124972,Luisa,Moncloa - Aravaca,Argelles,40.42973,-3.72118,Private room,50,10,6,2/7/2019,0.07,4,350
71,Attic in the Heart of Madrid-WIFI ,1031664,Jos,Centro,Embajadores,40.41273,-3.70324,Private room,30,25,33,7/20/2019,0.35,1,181
72,The Mad B&B - Cool 3BD with Wifi & AC,669927,Diana,Carabanchel,Puerta Bonita,40.37987,-3.73215,Entire home/apt,95,2,175,9/9/2019,1.81,1,184
73,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45856,-3.64811,Private room,55,2,100,9/16/2019,1.04,1,310
74,Emblematic Plaza CHUECA. Quiet. Spacious. Design,927343,Jose,Centro,Justicia,40.42333,-3.69705,Entire home/apt,95,4,151,8/25/2019,1.57,3,287
75,PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE,1732442,Anouk,Centro,Sol,40.41601,-3.70853,Entire home/apt,145,3,195,8/27/2019,2.04,9,339
76,*** Malasaa B&B exterior***,499977,Charo,Centro,Universidad,40.42348,-3.70336,Private room,29,1,166,9/14/2019,1.72,3,329
77,"RIGHT WHERE YOU  WANT TO BE+PC,WIFI",1168897,Carol,Centro,Embajadores,40.40916,-3.70799,Entire home/apt,75,365,8,9/12/2013,0.09,1,365
78,Bright silent room in the center,1174648,Rebeca,Centro,Cortes,40.41518,-3.6998,Private room,30,2,141,7/14/2019,1.5,1,259
79,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Chamber,Arapiles,40.43423,-3.70703,Private room,25,4,57,7/19/2019,0.68,3,264
80,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.40881,-3.70092,Entire home/apt,55,2,462,8/28/2019,4.78,2,335
81,COMFORTABLE ROOM IN A GREAT AREA!!!,1212528,Silvia,Chamber,Trafalgar,40.43684,-3.70225,Private room,30,1,0,,,1,88
82,CHEAP  ROOM ONLY GIRLS OR COUPLES,630482,Raquel,Carabanchel,San Isidro,40.39376,-3.72483,Private room,25,5,77,8/9/2019,0.8,2,230
83,CASA ARCO CUCHILLEROS-BOTIN,1732442,Anouk,Centro,Sol,40.41523,-3.7065,Entire home/apt,80,2,135,8/11/2019,1.48,9,332
84,For Family 5p 20 min Puerta del Sol,1351231,Nieves,Latina,Aluche,40.38574,-3.75062,Entire home/apt,98,6,47,6/8/2019,0.5,1,90
85,2-bedroom flat right in the center.,814490,Rafael,Centro,Universidad,40.42586,-3.71049,Entire home/apt,50,15,86,1/4/2017,0.98,3,327
86,Quiet duplex apartment in Lavapis,1367452,Javier,Centro,Embajadores,40.40814,-3.70171,Entire home/apt,83,5,35,6/14/2019,0.38,1,292
87,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47088,-3.62866,Entire home/apt,145,2,120,9/8/2019,1.33,4,326
88,GREAT STUDIO! BEST REVIEWS! CENTRAL,1373873,Al,Centro,Universidad,40.42325,-3.70183,Entire home/apt,74,1,445,9/18/2019,4.66,1,58
89,"ROOM WITH TV, PHONO,WIFI MADRID",1374415,Icar M.,Tetun,Berruguete,40.45509,-3.70286,Private room,28,1,31,7/30/2019,0.32,1,80
90,"LOFT ""C"" modern design loft IFEMA",1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47198,-3.62952,Entire home/apt,66,2,96,7/14/2019,1.1,4,332
91,"SINGULAR BUILDING, 5 FLOORS  250m2",1370007,Alvaro,Centro,Universidad,40.4262,-3.70319,Entire home/apt,480,2,16,5/19/2019,0.17,1,342
92,Madrid center with balconies,1406073,Jose Antonio,Centro,Embajadores,40.41236,-3.70284,Entire home/apt,75,2,58,4/8/2019,0.62,1,312
93,Gran Via apartment I,596469,Gabriel Avalos,Centro,Universidad,40.42419,-3.70835,Hotel room,90,5,28,7/1/2019,0.37,30,330
94,UNIQUE in Opera Royal Palace!!!,1466005,Pe,Centro,Palacio,40.41635,-3.70986,Entire home/apt,72,2,84,9/15/2019,2.3,1,341
95,Winter Offer 40m2 Wifi. Centre O,740087,Jesus&Sonia,Centro,Cortes,40.41365,-3.70072,Entire home/apt,59,3,35,9/16/2019,0.45,8,136
96,"COZY FLAT, SANTA ANA,40m2,WIFI (I)",740087,Jesus&Sonia,Centro,Cortes,40.41454,-3.70121,Entire home/apt,59,3,62,7/28/2019,0.68,8,121
97,"Cozy and Luxury penthouse, Madrid",1473247,Marta,Salamanca,Recoletos,40.42688,-3.6852,Entire home/apt,169,2,94,7/13/2019,1.05,1,331
98,"CENTER HISTORICAL, SOL, DUPLEX",1478367,Amalia,Centro,Sol,40.4179,-3.70819,Entire home/apt,85,1,26,8/8/2019,0.52,1,87
99,Beatiful downtown room with balcony,1496188,Juanpe,Centro,Universidad,40.42555,-3.71087,Private room,30,1,11,11/8/2014,0.12,2,0
100,Casa Museo del Prado-Private room.,901218,Myrko,Centro,Cortes,40.4176,-3.69808,Private room,58,3,167,8/28/2019,2.27,25,0
101,"BARIO LA LATINA, HABITACIONES",805726,Patricia,Latina,Puerta del Angel,40.41136,-3.72456,Private room,20,2,33,4/21/2019,0.36,5,322
102,rented room in the center of madrid,1522694,Isdel Pablo,Centro,Justicia,40.42283,-3.70064,Private room,60,2,16,7/7/2019,0.29,4,342
103,Centro de Madrid. Room 3,1522694,Isdel Pablo,Centro,Justicia,40.42203,-3.69898,Private room,43,4,51,6/13/2019,0.55,4,356
104,Room Callao Madrid center,845399,Daniel,Centro,Universidad,40.42288,-3.7034,Private room,60,1,10,12/14/2012,0.11,10,169
105,Charming Prado Luxury,4677030,Jaime,Centro,Cortes,40.41472,-3.69533,Entire home/apt,110,3,38,6/28/2019,0.85,13,74
106,"Central, cute & Art Apartment",1596220,Paloma,Centro,Embajadores,40.40779,-3.69614,Entire home/apt,80,3,90,8/25/2019,1.05,1,318
107,Precioso apartamento en Gran Via,1598163,Soledad,Centro,Universidad,40.42248,-3.70891,Entire home/apt,68,3,298,9/18/2019,3.2,1,31
108,QUIET and SPACIOUS .  Heart of Malasaa.Madrid.,1095831,Rosalind  & Tino,Centro,Universidad,40.42579,-3.70526,Entire home/apt,155,3,194,7/7/2019,2.13,4,330
109,Wonderful apartment. JUST REMODELED,1636378,Francisco Tomas,Latina,Aluche,40.39382,-3.75871,Entire home/apt,90,6,13,4/15/2019,0.14,1,297
110,Terrace La Latina,1650712,Ximena,Centro,Embajadores,40.4112,-3.70741,Entire home/apt,116,2,28,3/3/2019,0.41,26,318
111,Winter froml 34€per.Centric.Wifi E,740087,Jesus&Sonia,Centro,Cortes,40.41433,-3.70123,Entire home/apt,59,3,55,9/2/2019,0.64,8,125
112,Heart of Madrid - 2 bedroom flat,1702905,Si,Centro,Embajadores,40.41059,-3.7034,Entire home/apt,75,3,221,9/11/2019,2.54,1,320
113,Great apartment ∞4 rooms∞ close to City Center,1716726,Jess,Arganzuela,Delicias,40.39548,-3.69392,Entire home/apt,115,2,42,9/8/2019,1.94,5,55
114,2 bedroom apartament in Chueca-Fuen,1713427,Helena,Centro,Justicia,40.42295,-3.69552,Entire home/apt,63,5,42,7/9/2019,0.46,1,229
115,Direct to Plaza Mayor!,1713524,Oliver,Centro,Sol,40.41452,-3.70774,Private room,100,2,105,10/9/2018,1.17,2,0
116,DISCOVER MADRID CENTRAL AREA WIFI,1714541,Ignacio,Retiro,Pacfico,40.4065,-3.67233,Private room,24,2,164,8/18/2019,1.91,9,116
117,Principe de Vergara. Homey Room,1714866,Francisco,Chamartn,Ciudad Jardn,40.44859,-3.67746,Private room,35,2,7,4/18/2017,0.08,1,0
118,COZY APARTMENT MADRID MALASAA,1721158,Pau&Patricia,Centro,Universidad,40.42836,-3.7056,Entire home/apt,63,15,124,8/31/2019,1.37,2,221
119,PRADO MUSEUM AIR & OnSiteParking (*),1722284,Cesar,Centro,Cortes,40.41281,-3.6956,Entire home/apt,82,3,146,6/18/2019,1.62,2,191
120,Madrid Centro 1to6 people Metro Bus wifi.TWO ROOMS,1721232,Juan Manuel,Latina,Puerta del Angel,40.40713,-3.73971,Private room,22,2,103,9/16/2019,2.39,1,161
121,Self-catering Apartment in Madrid,1694537,Miguel Angel & Iaia,Centro,Embajadores,40.41047,-3.70207,Entire home/apt,55,3,164,8/30/2019,1.79,1,178
122,Lovely apartment CENTRAL MADRID !,1703448,Elena,Centro,Embajadores,40.40872,-3.69919,Entire home/apt,79,3,31,5/27/2019,0.35,2,270
123,Berlin's Park at your window. Parking included.,1738288,Jose Angel,Chamartn,Ciudad Jardn,40.44931,-3.67424,Private room,75,2,52,6/3/2019,0.72,1,361
124,beautiful apartament & cozy terrace,1738846,Carlos,Arganzuela,Palos de Moguer,40.40522,-3.69454,Entire home/apt,65,3,30,8/15/2019,0.36,1,137
125,Special price 29€ per.Center.Wifi U,740087,Jesus&Sonia,Centro,Cortes,40.4144,-3.70126,Entire home/apt,59,3,99,9/8/2019,1.11,8,134
126,DUPLO Heart of Madrid/Malasaa,1095831,Rosalind  & Tino,Centro,Universidad,40.42371,-3.70393,Entire home/apt,81,3,4,4/11/2019,0.05,4,333
127,GOYA (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.4238,-3.70467,Private room,70,3,4,4/11/2019,0.07,4,333
128,MIRO (Website hidden by Airbnb) of Madrid,1095831,Rosalind  & Tino,Centro,Universidad,40.42359,-3.70396,Private room,70,3,4,12/15/2018,0.06,4,333
129,CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT,1751133,The Punset Family,Tetun,Almenara,40.47293,-3.68945,Entire home/apt,130,2,27,10/19/2018,0.34,2,311
130,Classy Central Family Alcal Deluxe,1751133,The Punset Family,Salamanca,Guindalera,40.4302,-3.66484,Entire home/apt,135,2,42,9/7/2019,0.47,2,295
131,PRIVATE ROOM. HEART OF MADRID.,1791341,Rosario,Centro,Palacio,40.41935,-3.71162,Private room,52,4,305,9/1/2019,5,2,212
132,CENTRIC APT. MALSAA & CHUECA,1791341,Rosario,Centro,Universidad,40.42723,-3.70959,Entire home/apt,77,15,128,7/21/2019,2.61,2,251
133,Entire apartment Plaza de Espaa!,1496188,Juanpe,Centro,Universidad,40.42479,-3.70896,Entire home/apt,70,20,38,7/3/2018,0.42,2,0
134,"Cozy, luminous  excellenty placed",1729503,Ana,Retiro,Nio Jess,40.40976,-3.67544,Entire home/apt,100,2,149,9/4/2019,1.64,3,29
135,PUERTA DEL SOL-QUIET DOWNTOWN,1836617,Bibiana,Centro,Sol,40.4175,-3.70676,Private room,49,2,364,9/15/2019,4.02,1,317
136,Beautiful light attic! very central,1868359,Anna,Centro,Embajadores,40.41177,-3.69985,Entire home/apt,70,2,156,3/19/2019,1.72,1,109
137,ROOM  IN MADRID CENTRAL AREA,1714541,Ignacio,Retiro,Pacfico,40.40573,-3.67396,Private room,22,2,55,7/24/2019,0.62,9,127
138,Host family in the center of Madrid,1888816,Margarita Y Mara,Arganzuela,Acacias,40.40266,-3.70374,Private room,24,6,137,8/13/2019,1.59,4,227
139,Great Studio for Rent in Madrid,1892467,Laura,Centro,Embajadores,40.40995,-3.6971,Entire home/apt,50,3,17,8/23/2019,0.24,3,211
140,private house in elegant neiborhood,1895571,Lola,Salamanca,Fuente del Berro,40.42258,-3.66275,Private room,30,2,30,8/5/2019,0.42,2,0
141,Your home in Madrid!,1902834,Enric,Arganzuela,Palos de Moguer,40.40442,-3.69256,Entire home/apt,70,5,28,7/15/2018,0.31,1,140
142,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Centro,Universidad,40.42182,-3.70389,Entire home/apt,105,2,114,6/2/2019,1.27,1,234
143,PUERTA DEL SOL VI - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41456,-3.70437,Entire home/apt,77,3,30,4/13/2019,0.39,56,318
144,ATOCHA II - MADRID CITY CENTRE,1408525,Mad4Rent,Arganzuela,Palos de Moguer,40.40642,-3.6951,Entire home/apt,66,3,32,8/13/2019,0.39,56,274
145,"Nice double room, near every where",1893660,Felipe,Retiro,Estrella,40.40782,-3.66904,Private room,24,7,137,5/29/2019,1.55,1,114
146,PUERTA DEL SOL l - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41596,-3.70302,Entire home/apt,82,3,127,9/17/2019,1.6,56,300
147,GRAN VIA  -  Vll -MADRID CENTRE,1408525,Mad4Rent,Centro,Universidad,40.42342,-3.70454,Entire home/apt,88,3,39,6/29/2019,0.7,56,341
148,PLAZA DE LA CEBADA  -  SPACIOUS,1408525,Mad4Rent,Centro,Palacio,40.41043,-3.70944,Entire home/apt,85,5,11,6/24/2019,0.17,56,0
149,"Quiet downtown Madrid, nearby all",2024487,Fernando,Salamanca,Goya,40.42823,-3.67776,Private room,24,3,114,8/9/2019,1.26,1,237
150,Lovely & Cozy Apartment Center,1973909,Jose Y Ana,Centro,Cortes,40.41262,-3.69882,Entire home/apt,56,2,383,3/23/2019,4.23,1,0
151,80m2 spacious bright loft apartment,2044655,Sylvia,Centro,Sol,40.41736,-3.70012,Entire home/apt,155,3,139,9/15/2019,1.54,6,160
152,An oasis in the city of Madrid,2056009,Irma,Chamartn,Hispanoamrica,40.45337,-3.67086,Private room,48,2,96,9/10/2019,1.07,1,345
153,LATINA - lV - STUDIO MADRID CENTRE,1408525,Mad4Rent,Centro,Palacio,40.41282,-3.70749,Entire home/apt,66,3,27,9/10/2019,0.32,56,328
154, LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Centro,Embajadores,40.40781,-3.70245,Entire home/apt,75,2,153,5/27/2019,1.69,1,0
155,Bonito estudio en pleno centro,9934732,Fernando Javier,Centro,Universidad,40.42602,-3.70502,Entire home/apt,38,1,582,8/28/2019,6.55,5,270
156,Tribunal Apartment,1719263,Leticia,Centro,Justicia,40.42638,-3.69957,Entire home/apt,100,5,2,9/6/2014,0.02,2,240
157,Nice private room in Madrid center,2107994,Giuseppe,Centro,Justicia,40.42146,-3.69941,Private room,43,3,13,5/2/2017,0.15,1,361
158,Habitacin privada en apartamento..,2111994,Carolina,Tetun,Cuatro Caminos,40.45483,-3.69994,Private room,40,7,4,5/31/2017,0.06,2,323
159,100 M CASA PRECIOSA CENTRO MADRID,2124765,Sara,Chamber,Trafalgar,40.4313,-3.70177,Entire home/apt,200,1,4,7/21/2014,0.05,1,287
160,2 Bedroom Apartment - Center Madrid - ST,2134007,Lola,Centro,Universidad,40.42961,-3.70851,Entire home/apt,120,3,173,9/11/2019,1.96,1,274
161,Flat for 4/6 in central Madrid!,1450430,Fanny,Tetun,Bellas Vistas,40.44798,-3.70589,Entire home/apt,80,5,23,12/29/2018,0.26,1,323
162,CHARMING SUITE IN MADRID'S LEDGE,2146727,Carlos,Moncloa - Aravaca,Casa de Campo,40.42934,-3.72229,Private room,35,55,100,8/25/2019,1.12,3,274
163,GRAN VIA - Vl - MODERNIST & CENTRIC,1408525,Mad4Rent,Centro,Universidad,40.42066,-3.70494,Entire home/apt,90,3,23,9/13/2019,0.3,56,319
164,Cute penthouse room in Madrid!!!,2160658,Ana,Centro,Palacio,40.41257,-3.70872,Private room,25,2,190,9/1/2019,2.15,1,322
165,"LA LATINA, MAGNFICAS HABITACIONES",805726,Patricia,Latina,Puerta del Angel,40.41155,-3.72371,Private room,25,6,8,10/31/2018,0.1,5,322
166,Madrid center - right in Malasaa!,2184051,Emilio,Centro,Universidad,40.42353,-3.70308,Entire home/apt,70,1,501,9/13/2019,5.57,4,282
167,Quiet Central Apartment with WiFi,1280726,Mallory,Chamber,Trafalgar,40.42897,-3.69711,Entire home/apt,30,3,7,9/23/2012,0.08,1,0
168,madrid center chueca house wiffi,2201302,Cesar,Centro,Justicia,40.42414,-3.69764,Entire home/apt,85,2,14,7/7/2019,0.16,1,219
169,"Central, fully equipped, best price",2230279,Marina,Chamber,Trafalgar,40.42976,-3.70259,Entire home/apt,48,3,264,8/4/2019,2.96,1,161
170,"central, cheap, basic apartment",814490,Rafael,Centro,Universidad,40.42595,-3.71,Entire home/apt,55,4,87,5/13/2018,0.97,3,0
171,Nice room in Madrid,617086,Agata,Carabanchel,Comillas,40.3909,-3.71202,Private room,30,2,4,6/23/2019,0.15,1,79
172,GRAN VIA - l - CENTRAL & BRIGHT,1408525,Mad4Rent,Centro,Universidad,40.42524,-3.70504,Entire home/apt,81,3,14,6/23/2019,0.24,56,315
173,PUERTA DEL SOL- ll - MADRID CENTRE,1408525,Mad4Rent,Centro,Sol,40.41661,-3.70282,Entire home/apt,82,3,28,9/2/2019,0.46,56,323
174,Spectacular Penthouse 95 m² Latina,2296476,Jose Manuel,Centro,Embajadores,40.40817,-3.7102,Entire home/apt,112,2,53,7/14/2019,0.6,1,198
175,Lovely Apartment Madrid Center,2302267,Carmen,Centro,Palacio,40.41378,-3.71253,Entire home/apt,75,3,11,7/2/2019,0.23,1,254
176,"LOVELY SUNNY, DOWNTOWN, 2 BR APT.",2307294,Lua & Carlos,Centro,Universidad,40.42204,-3.70481,Entire home/apt,85,3,60,4/24/2018,0.67,1,261
177,DESIGN PENTHOUSE ALONSO MARTINEZ!,2320165,Fernando,Chamber,Almagro,40.42744,-3.695,Entire home/apt,90,2,27,12/31/2018,0.31,1,150
